EVENT	TDC1	TRIG
29678	1548091	1551118
29686	1974838	1977903
29687	406728	409773
29706	222548	225576
29736	1046004	1049345
29753	1122746	1125778
29754	1316390	1319357
29757	1819436	1823020
29788	1166541	1169877
29794	872797	875595
29804	1032382	1035363
29821	1426861	1429949
29829	1464297	1467308
29866	360261	363250
29887	98146	101156
29915	487517	490624
29955	516878	519831
29974	813992	816991
30028	905287	908268
30035	493482	496787
30036	1772857	1776278
30075	335144	338416
30086	539371	542473
30130	1076395	1079355
30134	2088223	2091231
30199	1776717	1779864
30251	1013066	1016021
30303	1369805	1372957
30418	958004	960980
30429	2037720	2040805
30501	406322	409571
30502	47245	50601
30513	1690111	1693098
30610	235677	238771
30632	1406941	1410227
30655	1288454	1291445
30695	1850181	1853589
30712	906288	909292
30764	1673818	1676793
30769	1298624	1301798
30772	997591	1000605
30774	168997	172011
30829	1465468	1468496
30838	910816	913808
30866	967781	970822
30916	783705	787170
30956	2055770	2059077
30958	1592052	1594966
30968	1325379	1328626
30994	1478985	1482285
30995	79871	83130
31017	1427906	1431004
